round_id,task_name,schema_id,pair_id,score,reported_score,assignment_score_mode,round_mean_score_pct,round_weighted_mean_score_pct,growth_component_score_pct,trajectory_signal_score_pct,trajectory_quality,trajectory_round_count,trajectory_post_r0_round_count,trajectory_non_decreasing_all_rounds,trajectory_post_r0_score_non_decreasing,trajectory_post_r0_delta_non_decreasing,trajectory_post_r0_all_ge_r0,trajectory_post_r0_all_100,trajectory_ideal_zero_to_full_stable,post_r0_improved_round_count,post_r0_improvement_area_score_pct,post_r0_improved_round_fraction_score_pct,post_r0_terminal_improvement_score_pct,earliest_full_score_round,rounds_at_100_count,post_r0_best_score_pct,delta_vs_r0_best_pp,delta_vs_r0_final_pp,delta_vs_r0_post_best_pp,delta_vs_r0_r1_pp,delta_vs_r0_r2_pp,delta_vs_r0_r3_pp,round_r0_to_best_delta_pp,round_r0_to_final_delta_pp,round_r0_score_pct,round_r1_score_pct,round_r2_score_pct,round_r3_score_pct,success,best_score,final_score,timeout_flag,has_intermediate_exceptions,assignment_eligible,latest_status,evidence_class,official_c0_pct,official_c1_pct,delta_vs_c0_pp,delta_vs_c1_pp,failure_type,failure_summary,notes
outer-loop-round0,adaptive-cruise-control,orchestration-delegation,adaptive-cruise-control__orchestration-delegation,31.25,100.0,trajectory,25.0,20.0,100.0,45.0,partial_gain_then_regression,4,3,False,False,False,True,False,False,1,33.3333,33.3333,0.0,1,1,100.0,100.0,0.0,100.0,100.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,True,100.0,100.0,False,False,True,completed,measured,0.0,0.0,100.0,100.0,,,
outer-loop-round0,adaptive-cruise-control,retrieval-heavy-synthesis,adaptive-cruise-control__retrieval-heavy-synthesis,31.25,100.0,trajectory,25.0,30.0,100.0,45.0,partial_gain_then_regression,4,3,False,False,False,True,False,False,1,33.3333,33.3333,0.0,2,1,100.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,True,100.0,100.0,False,False,True,completed,measured,0.0,0.0,100.0,100.0,,,
outer-loop-round0,azure-bgp-oscillation-route-leak,analytic-pipeline,azure-bgp-oscillation-route-leak__analytic-pipeline,60.0,100.0,trajectory,25.0,35.0,100.0,100.0,stable_non_decreasing_gain,4,3,True,True,True,True,False,False,1,33.3333,33.3333,100.0,3,1,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,True,100.0,100.0,False,False,True,completed,measured,0.0,0.0,100.0,100.0,,,
outer-loop-round0,azure-bgp-oscillation-route-leak,artifact-generation,azure-bgp-oscillation-route-leak__artifact-generation,0.0,0.0,trajectory,0.0,0.0,50.0,0.0,stable_no_loss,4,3,True,True,True,True,False,False,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,False,False,True,completed,measured,0.0,0.0,0.0,0.0,,,
outer-loop-round0,azure-bgp-oscillation-route-leak,engineering-composition,azure-bgp-oscillation-route-leak__engineering-composition,0.0,0.0,trajectory,0.0,0.0,50.0,0.0,stable_no_loss,4,3,True,True,True,True,False,False,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,False,False,True,completed,measured,0.0,0.0,0.0,0.0,,,
outer-loop-round0,azure-bgp-oscillation-route-leak,environment-control,azure-bgp-oscillation-route-leak__environment-control,0.0,0.0,trajectory,0.0,0.0,50.0,0.0,stable_no_loss,4,3,True,True,True,True,False,False,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,False,False,True,completed,measured,0.0,0.0,0.0,0.0,,,
outer-loop-round0,azure-bgp-oscillation-route-leak,methodology-guardrail,azure-bgp-oscillation-route-leak__methodology-guardrail,60.0,100.0,trajectory,25.0,35.0,100.0,100.0,stable_non_decreasing_gain,4,3,True,True,True,True,False,False,1,33.3333,33.3333,100.0,3,1,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,True,100.0,100.0,False,False,True,completed,measured,0.0,0.0,100.0,100.0,,,
outer-loop-round0,azure-bgp-oscillation-route-leak,orchestration-delegation,azure-bgp-oscillation-route-leak__orchestration-delegation,31.25,100.0,trajectory,25.0,30.0,100.0,45.0,partial_gain_then_regression,4,3,False,False,False,True,False,False,1,33.3333,33.3333,0.0,2,1,100.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,True,100.0,100.0,False,False,True,completed,measured,0.0,0.0,100.0,100.0,,,
outer-loop-round0,azure-bgp-oscillation-route-leak,retrieval-heavy-synthesis,azure-bgp-oscillation-route-leak__retrieval-heavy-synthesis,0.0,0.0,trajectory,0.0,0.0,50.0,0.0,stable_no_loss,4,3,True,True,True,True,False,False,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,False,False,True,completed,measured,0.0,0.0,0.0,0.0,,,
outer-loop-round0,citation-check,analytic-pipeline,citation-check__analytic-pipeline,0.0,100.0,trajectory,100.0,100.0,50.0,0.0,baseline_only,1,0,,,,,False,False,0,0.0,0.0,0.0,0,1,,0.0,0.0,,,,,0.0,0.0,100.0,,,,True,100.0,100.0,False,False,True,completed,measured,100.0,100.0,0.0,0.0,,,
