pair_id,task_name,schema_id,source_run_label,launcher_status,run_status,selected_round,selected_score_pct,selected_classification,hard_quota_rounds,selected_round_signal_level,hard_terms
azure-bgp-oscillation-route-leak__artifact-generation,azure-bgp-oscillation-route-leak,artifact-generation,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R0;R1;R2,hard,http_429;numeric_429;provider_quota
civ6-adjacency-optimizer__artifact-generation,civ6-adjacency-optimizer,artifact-generation,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R0;R1,hard,http_429;numeric_429;provider_quota
civ6-adjacency-optimizer__analytic-pipeline,civ6-adjacency-optimizer,analytic-pipeline,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R0;R1;R2,hard,http_429;numeric_429;provider_quota;quota_blocked
civ6-adjacency-optimizer__engineering-composition,civ6-adjacency-optimizer,engineering-composition,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R1;R2,none,http_429;numeric_429;provider_quota
civ6-adjacency-optimizer__retrieval-heavy-synthesis,civ6-adjacency-optimizer,retrieval-heavy-synthesis,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R1;R2,none,http_429;numeric_429;provider_quota
civ6-adjacency-optimizer__environment-control,civ6-adjacency-optimizer,environment-control,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R1;R2,none,http_429;infra_quota;numeric_429;provider_quota
civ6-adjacency-optimizer__methodology-guardrail,civ6-adjacency-optimizer,methodology-guardrail,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R0;R1;R2,hard,http_429;numeric_429;provider_quota;quota_blocked
civ6-adjacency-optimizer__orchestration-delegation,civ6-adjacency-optimizer,orchestration-delegation,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R0;R1;R2,hard,http_429;numeric_429;provider_quota
exoplanet-detection-period__artifact-generation,exoplanet-detection-period,artifact-generation,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R0,hard,http_429;numeric_429;provider_quota
exoplanet-detection-period__analytic-pipeline,exoplanet-detection-period,analytic-pipeline,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R0;R1;R2,hard,http_429;infra_quota;numeric_429;provider_quota;quota_blocked
exoplanet-detection-period__engineering-composition,exoplanet-detection-period,engineering-composition,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R0;R1;R2,hard,http_429;numeric_429;provider_quota;quota_blocked
exoplanet-detection-period__retrieval-heavy-synthesis,exoplanet-detection-period,retrieval-heavy-synthesis,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R0;R1;R2,hard,http_429;numeric_429;provider_quota;quota_blocked
exoplanet-detection-period__environment-control,exoplanet-detection-period,environment-control,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R0;R1,hard,http_429;numeric_429;provider_quota;quota_blocked
exoplanet-detection-period__methodology-guardrail,exoplanet-detection-period,methodology-guardrail,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R0;R1;R2,hard,http_429;numeric_429;provider_quota;quota_blocked
exoplanet-detection-period__orchestration-delegation,exoplanet-detection-period,orchestration-delegation,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R1;R2,none,http_429;numeric_429;provider_quota
fix-druid-loophole-cve__artifact-generation,fix-druid-loophole-cve,artifact-generation,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R0;R1;R2,hard,http_429;numeric_429;provider_quota;quota_blocked;rate_limit_stop
fix-druid-loophole-cve__analytic-pipeline,fix-druid-loophole-cve,analytic-pipeline,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R0;R1;R2,hard,http_429;numeric_429;provider_quota
fix-druid-loophole-cve__engineering-composition,fix-druid-loophole-cve,engineering-composition,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R0;R1,hard,http_429;numeric_429;provider_quota;quota_blocked
fix-druid-loophole-cve__retrieval-heavy-synthesis,fix-druid-loophole-cve,retrieval-heavy-synthesis,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R0;R1;R2,hard,http_429;numeric_429;provider_quota
fix-druid-loophole-cve__environment-control,fix-druid-loophole-cve,environment-control,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R0;R1,hard,http_429;infra_quota;numeric_429;provider_quota
fix-druid-loophole-cve__methodology-guardrail,fix-druid-loophole-cve,methodology-guardrail,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R0;R1;R2,hard,http_429;numeric_429;provider_quota;quota_blocked
fix-druid-loophole-cve__orchestration-delegation,fix-druid-loophole-cve,orchestration-delegation,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R0;R1;R2,hard,http_429;numeric_429;provider_quota
