pair_id,task_name,schema_id,source_run_label,launcher_status,run_status,selected_round,selected_score_pct,selected_classification,hard_quota_rounds,selected_round_signal_level,hard_terms
dapt-intrusion-detection__artifact-generation,dapt-intrusion-detection,artifact-generation,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R1;R2,soft,http_429;numeric_429;provider_quota
dapt-intrusion-detection__analytic-pipeline,dapt-intrusion-detection,analytic-pipeline,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R0;R2,hard,http_429;numeric_429;provider_quota
dapt-intrusion-detection__engineering-composition,dapt-intrusion-detection,engineering-composition,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R0;R1;R2,hard,http_429;numeric_429;provider_quota;quota_blocked
dapt-intrusion-detection__retrieval-heavy-synthesis,dapt-intrusion-detection,retrieval-heavy-synthesis,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R0,hard,http_429;numeric_429;provider_quota
dapt-intrusion-detection__environment-control,dapt-intrusion-detection,environment-control,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R0;R1;R2,hard,http_429;numeric_429;provider_quota;quota_blocked
dapt-intrusion-detection__methodology-guardrail,dapt-intrusion-detection,methodology-guardrail,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R1;R2,none,http_429;numeric_429;provider_quota;rate_limit_stop
dapt-intrusion-detection__orchestration-delegation,dapt-intrusion-detection,orchestration-delegation,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R0;R1;R2,hard,http_429;numeric_429;provider_quota
econ-detrending-correlation__artifact-generation,econ-detrending-correlation,artifact-generation,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R0;R2,hard,http_429;numeric_429;provider_quota;quota_blocked
econ-detrending-correlation__analytic-pipeline,econ-detrending-correlation,analytic-pipeline,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R0;R1;R2,hard,http_429;numeric_429;provider_quota
econ-detrending-correlation__engineering-composition,econ-detrending-correlation,engineering-composition,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R0;R1;R2,hard,http_429;numeric_429;provider_quota
econ-detrending-correlation__retrieval-heavy-synthesis,econ-detrending-correlation,retrieval-heavy-synthesis,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R0;R1;R2,hard,http_429;numeric_429;provider_quota
econ-detrending-correlation__environment-control,econ-detrending-correlation,environment-control,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R0;R1;R2,hard,http_429;numeric_429;provider_quota;quota_blocked;rate_limit_stop
econ-detrending-correlation__methodology-guardrail,econ-detrending-correlation,methodology-guardrail,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R0;R1;R2,hard,http_429;numeric_429;provider_quota
econ-detrending-correlation__orchestration-delegation,econ-detrending-correlation,orchestration-delegation,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R0;R1;R2,hard,http_429;numeric_429;provider_quota;quota_blocked
find-topk-similiar-chemicals__artifact-generation,find-topk-similiar-chemicals,artifact-generation,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R1;R2,none,http_429;numeric_429;provider_quota
find-topk-similiar-chemicals__analytic-pipeline,find-topk-similiar-chemicals,analytic-pipeline,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R0;R1,hard,http_429;infra_quota;numeric_429;provider_quota
find-topk-similiar-chemicals__engineering-composition,find-topk-similiar-chemicals,engineering-composition,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R1;R2,none,http_429;numeric_429;provider_quota
find-topk-similiar-chemicals__retrieval-heavy-synthesis,find-topk-similiar-chemicals,retrieval-heavy-synthesis,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R0;R1;R2,hard,http_429;numeric_429;provider_quota;rate_limit_stop
find-topk-similiar-chemicals__environment-control,find-topk-similiar-chemicals,environment-control,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R0;R2,hard,http_429;numeric_429;provider_quota
find-topk-similiar-chemicals__methodology-guardrail,find-topk-similiar-chemicals,methodology-guardrail,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R2,none,http_429;numeric_429;provider_quota
find-topk-similiar-chemicals__orchestration-delegation,find-topk-similiar-chemicals,orchestration-delegation,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R2,none,http_429;numeric_429;provider_quota
