pair_id,task_name,schema_id,source_run_label,launcher_status,run_status,selected_round,selected_score_pct,selected_classification,hard_quota_rounds,selected_round_signal_level,hard_terms
citation-check__artifact-generation,citation-check,artifact-generation,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,100.0,clean_success,R2,none,http_429;numeric_429;provider_quota
citation-check__analytic-pipeline,citation-check,analytic-pipeline,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,100.0,clean_success,R2,none,http_429;numeric_429;provider_quota;quota_blocked
citation-check__engineering-composition,citation-check,engineering-composition,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,100.0,clean_success,R1;R2,none,http_429;numeric_429;provider_quota;rate_limit_stop
citation-check__retrieval-heavy-synthesis,citation-check,retrieval-heavy-synthesis,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R0;R1;R2,hard,http_429;numeric_429;provider_quota
citation-check__environment-control,citation-check,environment-control,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R0;R1,hard,http_429;numeric_429;provider_quota
citation-check__methodology-guardrail,citation-check,methodology-guardrail,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R0;R1;R2,hard,http_429;numeric_429;provider_quota;quota_blocked
citation-check__orchestration-delegation,citation-check,orchestration-delegation,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R0;R1;R2,hard,http_429;numeric_429;provider_quota;quota_blocked
energy-market-pricing__artifact-generation,energy-market-pricing,artifact-generation,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R0;R1;R2,hard,http_429;infra_quota;numeric_429;provider_quota;quota_blocked
energy-market-pricing__analytic-pipeline,energy-market-pricing,analytic-pipeline,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R0;R1;R2,hard,http_429;infra_quota;numeric_429;provider_quota;quota_blocked
energy-market-pricing__engineering-composition,energy-market-pricing,engineering-composition,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R0;R1;R2,hard,http_429;infra_quota;numeric_429;provider_quota;quota_blocked
energy-market-pricing__retrieval-heavy-synthesis,energy-market-pricing,retrieval-heavy-synthesis,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R0;R1,hard,http_429;numeric_429;provider_quota
energy-market-pricing__environment-control,energy-market-pricing,environment-control,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R0;R1,hard,http_429;numeric_429;provider_quota;quota_blocked
energy-market-pricing__methodology-guardrail,energy-market-pricing,methodology-guardrail,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R0;R2,hard,http_429;numeric_429;provider_quota;quota_blocked
energy-market-pricing__orchestration-delegation,energy-market-pricing,orchestration-delegation,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R2,none,http_429;numeric_429;provider_quota;quota_blocked
exceltable-in-ppt__artifact-generation,exceltable-in-ppt,artifact-generation,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,100.0,clean_success,R2,none,http_429;numeric_429;provider_quota
exceltable-in-ppt__analytic-pipeline,exceltable-in-ppt,analytic-pipeline,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R0,hard,http_429;numeric_429;provider_quota;rate_limit_stop
exceltable-in-ppt__engineering-composition,exceltable-in-ppt,engineering-composition,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R0;R1;R2,hard,http_429;numeric_429;provider_quota
exceltable-in-ppt__retrieval-heavy-synthesis,exceltable-in-ppt,retrieval-heavy-synthesis,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R0;R1;R2,hard,http_429;numeric_429;provider_quota
exceltable-in-ppt__environment-control,exceltable-in-ppt,environment-control,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R0;R1,hard,http_429;numeric_429;provider_quota
exceltable-in-ppt__orchestration-delegation,exceltable-in-ppt,orchestration-delegation,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R0;R1;R2,hard,http_429;numeric_429;provider_quota
fix-build-google-auto__engineering-composition,fix-build-google-auto,engineering-composition,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R2,none,http_429;numeric_429;provider_quota;quota_blocked
fix-build-google-auto__retrieval-heavy-synthesis,fix-build-google-auto,retrieval-heavy-synthesis,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R0;R1,hard,http_429;numeric_429;provider_quota
fix-build-google-auto__environment-control,fix-build-google-auto,environment-control,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R0;R2,hard,http_429;numeric_429;provider_quota
fix-build-google-auto__methodology-guardrail,fix-build-google-auto,methodology-guardrail,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R0;R2,hard,http_429;numeric_429;provider_quota
fix-build-google-auto__orchestration-delegation,fix-build-google-auto,orchestration-delegation,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R0;R2,hard,http_429;numeric_429;provider_quota
